show_id,type,title,director,cast,country,rating,release_year,day_added,month_added,year_added,duration_value,duration_type,listed_in
s12,TV SHOW,BANGKOK BREAKING,KONGKIAT KOMESIRI,"SUKOLLAWAT KANAROT, SUSHAR MANAYING, PAVARIT MONGKOLPISIT, SAHAJAK BOONTHANAKIT, SUTHIPONGSE THATPHITHAKKUL, BHASAWORN BAWRONKIRATI, DAWEERIT CHULLASAPYA, WARATTHAYA WONGCHAYAPORN, KITTIPHOOM WONGPENTAK, ABHICHA THANACHANUN, NOPHAND BOONYAI, KITTIPONG KHAMSAT, ARISARA WONGCHALEE, JAYTIYA NAIWATTANAKUL, PANTIPA ARUNWATTANACHAI, PANUPAN JANTANAWONG, KUNGTAP SAELIM, PHUMPHAT CHARTSURIYAKIAT, ISSARA VERANITINUNT, KEERATI SIVAKUAE, PANJAI SIRISUWAN, SUPRANEE CHAROENPOL, SUDA CHUENBAN, VISAKA BANHANSUPAVAT, PITCHATORN SANTINATORNKUL",N/S,TV-MA,2021,23.0,9.0,2021.0,1,SEASONS,"CRIME TV SHOWS, INTERNATIONAL TV SHOWS, TV ACTION & ADVENTURE"
s13,MOVIE,JE SUIS KARL,CHRISTIAN SCHWOCHOW,"LUNA WEDLER, JANNIS NIEWÖHNER, MILAN PESCHEL, EDIN HASANOVIĆ, ANNA FIALOVÁ, MARLON BOESS, VICTOR BOCCARD, FLEUR GEFFRIER, AZIZ DYAB, MÉLANIE FOUCHÉ, ELIZAVETA MAXIMOVÁ","GERMANY, CZECH REPUBLIC",TV-MA,2021,23.0,9.0,2021.0,127,MIN,"DRAMAS, INTERNATIONAL MOVIES"
s14,MOVIE,CONFESSIONS OF AN INVISIBLE GIRL,BRUNO GAROTTI,"KLARA CASTANHO, LUCCA PICON, JÚLIA GOMES, MARCUS BESSA, KIRIA MALHEIROS, FERNANDA CONCON, GABRIEL LIMA, CAIO CABRAL, LEONARDO CIDADE, JADE CARDOZO",N/S,TV-PG,2021,22.0,9.0,2021.0,91,MIN,"CHILDREN & FAMILY MOVIES, COMEDIES"
s15,TV SHOW,CRIME STORIES: INDIA DETECTIVES,N/S,N/S,N/S,TV-MA,2021,22.0,9.0,2021.0,1,SEASONS,"BRITISH TV SHOWS, CRIME TV SHOWS, DOCUSERIES"
s16,TV SHOW,DEAR WHITE PEOPLE,N/S,"LOGAN BROWNING, BRANDON P. BELL, DERON HORTON, ANTOINETTE ROBERTSON, JOHN PATRICK AMEDORI, ASHLEY BLAINE FEATHERSON, MARQUE RICHARDSON, GIANCARLO ESPOSITO",UNITED STATES,TV-MA,2021,22.0,9.0,2021.0,4,SEASONS,"TV COMEDIES, TV DRAMAS"
s17,MOVIE,EUROPE'S MOST DANGEROUS MAN: OTTO SKORZENY IN SPAIN,"PEDRO DE ECHAVE GARCÍA, PABLO AZORÍN WILLIAMS",N/S,N/S,TV-MA,2020,22.0,9.0,2021.0,67,MIN,"DOCUMENTARIES, INTERNATIONAL MOVIES"
s18,TV SHOW,FALSA IDENTIDAD,N/S,"LUIS ERNESTO FRANCO, CAMILA SODI, SERGIO GOYRI, SAMADHI ZENDEJAS, EDUARDO YÁÑEZ, SONYA SMITH, ALEJANDRO CAMACHO, AZELA ROBINSON, URIEL DEL TORO, GÉRALDINE BAZÁN, GABRIELA ROEL, MARCUS ORNELLAS",MEXICO,TV-MA,2020,22.0,9.0,2021.0,2,SEASONS,"CRIME TV SHOWS, SPANISH-LANGUAGE TV SHOWS, TV DRAMAS"
s19,MOVIE,INTRUSION,ADAM SALKY,"FREIDA PINTO, LOGAN MARSHALL-GREEN, ROBERT JOHN BURKE, MEGAN ELISABETH KELLY, SARAH MINNICH, HAYES HARGROVE, MARK SIVERTSEN, BRANDON FIERRO, ANTONIO VALLES, CLINT OBENCHAIN",N/S,TV-14,2021,22.0,9.0,2021.0,94,MIN,THRILLERS
s20,TV SHOW,JAGUAR,N/S,"BLANCA SUÁREZ, IVÁN MARCOS, ÓSCAR CASAS, ADRIÁN LASTRA, FRANCESC GARRIDO, STEFAN WEINERT, JULIA MÖLLER, ALICIA CHOJNOWSKI",N/S,TV-MA,2021,22.0,9.0,2021.0,1,SEASONS,"INTERNATIONAL TV SHOWS, SPANISH-LANGUAGE TV SHOWS, TV ACTION & ADVENTURE"
s21,TV SHOW,MONSTERS INSIDE: THE 24 FACES OF BILLY MILLIGAN,OLIVIER MEGATON,N/S,N/S,TV-14,2021,22.0,9.0,2021.0,1,SEASONS,"CRIME TV SHOWS, DOCUSERIES, INTERNATIONAL TV SHOWS"
s22,TV SHOW,RESURRECTION: ERTUGRUL,N/S,"ENGIN ALTAN DÜZYATAN, SERDAR GÖKHAN, HÜLYA DARCAN, KAAN TAŞANER, ESRA BILGIÇ, OSMAN SOYKUT, SERDAR DENIZ, CENGIZ COŞKUN, RESHAD STRIK, HANDE SUBAŞI",TURKEY,TV-14,2018,22.0,9.0,2021.0,5,SEASONS,"INTERNATIONAL TV SHOWS, TV ACTION & ADVENTURE, TV DRAMAS"
s23,MOVIE,AVVAI SHANMUGHI,K.S. RAVIKUMAR,"KAMAL HASSAN, MEENA, GEMINI GANESAN, HEERA RAJGOPAL, NASSAR, S.P. BALASUBRAHMANYAM",N/S,TV-PG,1996,21.0,9.0,2021.0,161,MIN,"COMEDIES, INTERNATIONAL MOVIES"
s24,MOVIE,GO! GO! CORY CARSON: CHRISSY TAKES THE WHEEL,"ALEX WOO, STANLEY MOORE","MAISIE BENSON, PAUL KILLAM, KERRY GUDJOHNSEN, AC LIM",N/S,TV-Y,2021,21.0,9.0,2021.0,61,MIN,CHILDREN & FAMILY MOVIES
s25,MOVIE,JEANS,S. SHANKAR,"PRASHANTH, AISHWARYA RAI BACHCHAN, SRI LAKSHMI, NASSAR",INDIA,TV-14,1998,21.0,9.0,2021.0,166,MIN,"COMEDIES, INTERNATIONAL MOVIES, ROMANTIC MOVIES"
s26,TV SHOW,LOVE ON THE SPECTRUM,N/S,BROOKE SATCHWELL,AUSTRALIA,TV-14,2021,21.0,9.0,2021.0,2,SEASONS,"DOCUSERIES, INTERNATIONAL TV SHOWS, REALITY TV"
s27,MOVIE,MINSARA KANAVU,RAJIV MENON,"ARVIND SWAMY, KAJOL, PRABHU DEVA, NASSAR, S.P. BALASUBRAHMANYAM, GIRISH KARNAD",N/S,TV-PG,1997,21.0,9.0,2021.0,147,MIN,"COMEDIES, INTERNATIONAL MOVIES, MUSIC & MUSICALS"
s28,MOVIE,GROWN UPS,DENNIS DUGAN,"ADAM SANDLER, KEVIN JAMES, CHRIS ROCK, DAVID SPADE, ROB SCHNEIDER, SALMA HAYEK, MARIA BELLO, MAYA RUDOLPH, COLIN QUINN, TIM MEADOWS, JOYCE VAN PATTEN",UNITED STATES,PG-13,2010,20.0,9.0,2021.0,103,MIN,COMEDIES
s29,MOVIE,DARK SKIES,SCOTT STEWART,"KERI RUSSELL, JOSH HAMILTON, J.K. SIMMONS, DAKOTA GOYO, KADAN ROCKETT, L.J. BENET, RICH HUTCHMAN, MYNDY CRIST, ANNIE THURMAN, JAKE BRENNAN",UNITED STATES,PG-13,2013,19.0,9.0,2021.0,97,MIN,"HORROR MOVIES, SCI-FI & FANTASY"
s30,MOVIE,PARANOIA,ROBERT LUKETIC,"LIAM HEMSWORTH, GARY OLDMAN, AMBER HEARD, HARRISON FORD, LUCAS TILL, EMBETH DAVIDTZ, JULIAN MCMAHON, JOSH HOLLOWAY, RICHARD DREYFUSS, ANGELA SARAFYAN","UNITED STATES, INDIA, FRANCE",PG-13,2013,19.0,9.0,2021.0,106,MIN,THRILLERS
s31,MOVIE,ANKAHI KAHANIYA,"ASHWINY IYER TIWARI, ABHISHEK CHAUBEY, SAKET CHAUDHARY","ABHISHEK BANERJEE, RINKU RAJGURU, DELZAD HIWALE, KUNAL KAPOOR, ZOYA HUSSAIN, NIKHIL DWIVEDI, PALOMI GHOSH",N/S,TV-14,2021,17.0,9.0,2021.0,111,MIN,"DRAMAS, INDEPENDENT MOVIES, INTERNATIONAL MOVIES"
s32,TV SHOW,CHICAGO PARTY AUNT,N/S,"LAUREN ASH, RORY O'MALLEY, RUPAUL CHARLES, JILL TALLEY, IKE BARINHOLTZ, JON BARINHOLTZ, MATTHEW CRAIG, BOB ODENKIRK, MIKE HAGERTY, KATIE RICH, CHRIS WITASKE",N/S,TV-MA,2021,17.0,9.0,2021.0,1,SEASONS,TV COMEDIES
s33,TV SHOW,SEX EDUCATION,N/S,"ASA BUTTERFIELD, GILLIAN ANDERSON, NCUTI GATWA, EMMA MACKEY, CONNOR SWINDELLS, KEDAR WILLIAMS-STIRLING, ALISTAIR PETRIE",UNITED KINGDOM,TV-MA,2020,17.0,9.0,2021.0,3,SEASONS,"BRITISH TV SHOWS, INTERNATIONAL TV SHOWS, TV COMEDIES"
s34,TV SHOW,SQUID GAME,N/S,"LEE JUNG-JAE, PARK HAE-SOO, WI HA-JUN, OH YOUNG-SOO, JUNG HO-YEON, HEO SUNG-TAE, KIM JOO-RYOUNG, TRIPATHI ANUPAM, YOU SEONG-JOO, LEE YOU-MI",N/S,TV-MA,2021,17.0,9.0,2021.0,1,SEASONS,"INTERNATIONAL TV SHOWS, TV DRAMAS, TV THRILLERS"
s35,TV SHOW,TAYO AND LITTLE WIZARDS,N/S,"DAMI LEE, JASON LEE, BOMMIE CATHERINE HAN, JENNIFER WAESCHER, NANCY KIM",N/S,TV-Y7,2020,17.0,9.0,2021.0,1,SEASONS,KIDS' TV
s36,MOVIE,THE FATHER WHO MOVES MOUNTAINS,DANIEL SANDU,"ADRIAN TITIENI, ELENA PUREA, JUDITH STATE, VALERIU ANDRIUȚĂ, TUDOR SMOLEANU, VIRGIL AIOANEI, RADU BOTAR, PETRONELA GRIGORESCU, BOGDAN NECHIFOR, CRISTIAN BOTA",N/S,TV-MA,2021,17.0,9.0,2021.0,110,MIN,"DRAMAS, INTERNATIONAL MOVIES, THRILLERS"
s37,MOVIE,THE STRONGHOLD,CÉDRIC JIMENEZ,"GILLES LELLOUCHE, KARIM LEKLOU, FRANÇOIS CIVIL, ADÈLE EXARCHOPOULOS, KENZA FORTAS, CYRIL LECOMTE, MICHAËL ABITEBOUL, IDIR AZOUGLI, VINCENT DARMUZEY, JEAN-YVES BERTELOOT",N/S,TV-MA,2021,17.0,9.0,2021.0,105,MIN,"ACTION & ADVENTURE, DRAMAS, INTERNATIONAL MOVIES"
s38,TV SHOW,ANGRY BIRDS,N/S,"ANTTI PÄÄKKÖNEN, HELJÄ HEIKKINEN, LYNNE GUAGLIONE, PASI RUOHONEN, RAUNO AHONEN",FINLAND,TV-Y7,2018,16.0,9.0,2021.0,1,SEASONS,"KIDS' TV, TV COMEDIES"
s39,MOVIE,BIRTH OF THE DRAGON,GEORGE NOLFI,"BILLY MAGNUSSEN, RON YUAN, QU JINGJING, TERRY CHEN, VANNESS WU, JIN XING, PHILIP NG, XIA YU, YU XIA","CHINA, CANADA, UNITED STATES",PG-13,2017,16.0,9.0,2021.0,96,MIN,"ACTION & ADVENTURE, DRAMAS"
s40,TV SHOW,CHHOTA BHEEM,N/S,"VATSAL DUBEY, JULIE TEJWANI, RUPA BHIMANI, JIGNA BHARDWAJ, RAJESH KAVA, MOUSAM, SWAPNIL",INDIA,TV-Y7,2021,16.0,9.0,2021.0,3,SEASONS,KIDS' TV
s41,TV SHOW,HE-MAN AND THE MASTERS OF THE UNIVERSE,N/S,"YURI LOWENTHAL, KIMBERLY BROOKS, ANTONY DEL RIO, TREVOR DEVALL, BEN DISKIN, GREY GRIFFIN, DAVID KAYE, TOM KENNY, JUDY ALICE LEE, ROGER CRAIG SMITH, FRED TATASCIORE",UNITED STATES,TV-Y7,2021,16.0,9.0,2021.0,1,SEASONS,"KIDS' TV, TV SCI-FI & FANTASY"
s42,MOVIE,JAWS,STEVEN SPIELBERG,"ROY SCHEIDER, ROBERT SHAW, RICHARD DREYFUSS, LORRAINE GARY, MURRAY HAMILTON, CARL GOTTLIEB, JEFFREY KRAMER, SUSAN BACKLINIE, JONATHAN FILLEY, TED GROSSMAN",UNITED STATES,PG,1975,16.0,9.0,2021.0,124,MIN,"ACTION & ADVENTURE, CLASSIC MOVIES, DRAMAS"
s43,MOVIE,JAWS 2,JEANNOT SZWARC,"ROY SCHEIDER, LORRAINE GARY, MURRAY HAMILTON, JOSEPH MASCOLO, JEFFREY KRAMER, COLLIN WILCOX PAXTON, ANN DUSENBERRY, MARK GRUNER, BARRY COE, SUSAN FRENCH",UNITED STATES,PG,1978,16.0,9.0,2021.0,116,MIN,"DRAMAS, HORROR MOVIES, THRILLERS"
s44,MOVIE,JAWS 3,JOE ALVES,"DENNIS QUAID, BESS ARMSTRONG, SIMON MACCORKINDALE, LOUIS GOSSETT JR., JOHN PUTCH, LEA THOMPSON, P.H. MORIARTY, DAN BLASKO, LIZ MORRIS, LISA MAURER",UNITED STATES,PG,1983,16.0,9.0,2021.0,98,MIN,"ACTION & ADVENTURE, HORROR MOVIES, THRILLERS"
s45,MOVIE,JAWS: THE REVENGE,JOSEPH SARGENT,"LORRAINE GARY, LANCE GUEST, MARIO VAN PEEBLES, KAREN YOUNG, MICHAEL CAINE, JUDITH BARSI, MITCHELL ANDERSON, LYNN WHITFIELD",UNITED STATES,PG-13,1987,16.0,9.0,2021.0,91,MIN,"ACTION & ADVENTURE, HORROR MOVIES, THRILLERS"
s46,MOVIE,MY HEROES WERE COWBOYS,TYLER GRECO,N/S,N/S,PG,2021,16.0,9.0,2021.0,23,MIN,DOCUMENTARIES
s47,MOVIE,SAFE HOUSE,DANIEL ESPINOSA,"DENZEL WASHINGTON, RYAN REYNOLDS, VERA FARMIGA, BRENDAN GLEESON, SAM SHEPARD, RUBÉN BLADES, NORA ARNEZEDER, ROBERT PATRICK, LIAM CUNNINGHAM, JOEL KINNAMAN","SOUTH AFRICA, UNITED STATES, JAPAN",R,2012,16.0,9.0,2021.0,115,MIN,ACTION & ADVENTURE
s48,TV SHOW,THE SMART MONEY WOMAN,BUNMI AJAKAIYE,"OSAS IGHODARO, INI DIMA-OKOJIE, KEMI LALA AKINDOJU, TONI TONES, EBENEZER ENO, ESO OKOLOCHA DIKE, PATRICK DIABUAH, KARIBI FUBARA, TEMISAN EMMANUEL, TIMINI EGBUSON",N/S,TV-MA,2020,16.0,9.0,2021.0,1,SEASONS,"INTERNATIONAL TV SHOWS, ROMANTIC TV SHOWS, TV COMEDIES"
s49,MOVIE,TRAINING DAY,ANTOINE FUQUA,"DENZEL WASHINGTON, ETHAN HAWKE, SCOTT GLENN, TOM BERENGER, HARRIS YULIN, RAYMOND J. BARRY, CLIFF CURTIS, DR. DRE, SNOOP DOGG, MACY GRAY, EVA MENDES",UNITED STATES,R,2001,16.0,9.0,2021.0,122,MIN,"DRAMAS, THRILLERS"
s50,TV SHOW,CASTLE AND CASTLE,N/S,"RICHARD MOFE-DAMIJO, DAKORE AKANDE, BIMBO MANUEL, BLOSSOM CHUKWUJEKWU, DEYEMI OKANLAWON, ETIM EFFIONG, DENOLA GREY, DUKE AKINTOLA, EKU EDEWOR, ADE LAOYE, ANEE ICHA, KEVIN USHI, JUDE CHUKWUKA, AMANDA AFOLABI",NIGERIA,TV-MA,2021,15.0,9.0,2021.0,2,SEASONS,"INTERNATIONAL TV SHOWS, TV DRAMAS"
s51,TV SHOW,DHARMAKSHETRA,N/S,"KASHMIRA IRANI, CHANDAN ANAND, DINESH MEHTA, ANKIT ARORA, PUSHKAR GOGGIAA, ANJALI RANA, AARYA DHARMCHAND KUMAR, AMIT BEHL, MALEEKA GHAI",INDIA,TV-PG,2014,15.0,9.0,2021.0,1,SEASONS,"INTERNATIONAL TV SHOWS, TV DRAMAS, TV SCI-FI & FANTASY"
s52,MOVIE,INUYASHA THE MOVIE 2: THE CASTLE BEYOND THE LOOKING GLASS,TOSHIYA SHINOHARA,"KAPPEI YAMAGUCHI, SATSUKI YUKINO, MIEKO HARADA, KOJI TSUJITANI, HOUKO KUWASHIMA, KUMIKO WATANABE, NORIKO HIDAKA, KENICHI OGATA, TOSHIYUKI MORIKAWA, IZUMI OGAMI",JAPAN,TV-14,2002,15.0,9.0,2021.0,99,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s53,MOVIE,INUYASHA THE MOVIE 3: SWORDS OF AN HONORABLE RULER,TOSHIYA SHINOHARA,"KAPPEI YAMAGUCHI, SATSUKI YUKINO, KOJI TSUJITANI, HOUKO KUWASHIMA, KUMIKO WATANABE, KEN NARITA, AKIO OTSUKA, KIKUKO INOUE",JAPAN,TV-14,2003,15.0,9.0,2021.0,99,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s54,MOVIE,INUYASHA THE MOVIE 4: FIRE ON THE MYSTIC ISLAND,TOSHIYA SHINOHARA,"KAPPEI YAMAGUCHI, SATSUKI YUKINO, KOJI TSUJITANI, HOUKO KUWASHIMA, KUMIKO WATANABE, NORIKO HIDAKA, KEN NARITA, CHO, MAMIKO NOTO, NOBUTOSHI CANNA",JAPAN,TV-PG,2004,15.0,9.0,2021.0,88,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s55,MOVIE,INUYASHA THE MOVIE: AFFECTIONS TOUCHING ACROSS TIME,TOSHIYA SHINOHARA,"KAPPEI YAMAGUCHI, SATSUKI YUKINO, KOJI TSUJITANI, HOUKO KUWASHIMA, KUMIKO WATANABE, KENICHI OGATA, NORIKO HIDAKA, HISAKO KYODA, KEN NARITA, TOMOKAZU SEKI",JAPAN,TV-PG,2001,15.0,9.0,2021.0,100,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s56,TV SHOW,NAILED IT,N/S,"NICOLE BYER, JACQUES TORRES",UNITED STATES,TV-PG,2021,15.0,9.0,2021.0,6,SEASONS,REALITY TV
s57,MOVIE,NARUTO SHIPPUDEN THE MOVIE: BLOOD PRISON,MASAHIKO MURATA,"JUNKO TAKEUCHI, CHIE NAKAMURA, RIKIYA KOYAMA, KAZUHIKO INOUE, MASAKI TERASOMA, MIE SONOZAKI, YUICHI NAKAMURA, KENGO KAWANISHI, KOSEI HIROTA, MASAKO KATSUKI",JAPAN,TV-14,2011,15.0,9.0,2021.0,102,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s58,MOVIE,NARUTO SHIPPÛDEN THE MOVIE: BONDS,HAJIME KAMEGAKI,"JUNKO TAKEUCHI, CHIE NAKAMURA, NORIAKI SUGIYAMA, UNSHO ISHIZUKA, MOTOKO KUMAI, KAZUHIKO INOUE, RIKIYA KOYAMA, SHOWTARO MORIKUBO, NANA MIZUKI, SATOSHI HINO, SHINJI KAWADA",JAPAN,TV-PG,2008,15.0,9.0,2021.0,93,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s59,MOVIE,NARUTO SHIPPÛDEN THE MOVIE: THE WILL OF FIRE,MASAHIKO MURATA,"JUNKO TAKEUCHI, CHIE NAKAMURA, KAZUHIKO INOUE, SATOSHI HINO, SHOWTARO MORIKUBO, KENTARO ITO, RYOKA YUZUKI, KOHSUKE TORIUMI, NANA MIZUKI, SHINJI KAWADA, YOICHI MASUKAWA, KOICHI TOCHIKA, YUKARI TAMURA",JAPAN,TV-PG,2009,15.0,9.0,2021.0,96,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s60,MOVIE,NARUTO SHIPPUDEN: THE MOVIE,HAJIME KAMEGAKI,"JUNKO TAKEUCHI, CHIE NAKAMURA, YOICHI MASUKAWA, KOICHI TOCHIKA, AYUMI FUJIMURA, KEISUKE ODA, DAISUKE KISHIO, FUMIKO ORIKASA, HIDETOSHI NAKAMURA, TETSUYA KAKIHARA, KISHO TANIYAMA, MIYUKI SAWASHIRO, KATSUYUKI KONISHI, MASAKO KATSUKI, KEIKO NEMOTO, MASASHI EBARA, KAZUHIKO INOUE, SHOWTARO MORIKUBO, ROMI PARK, DAISUKE ONO, SEIZO KATO",JAPAN,TV-PG,2007,15.0,9.0,2021.0,95,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s61,MOVIE,NARUTO SHIPPUDEN: THE MOVIE: THE LOST TOWER,MASAHIKO MURATA,"JUNKO TAKEUCHI, CHIE NAKAMURA, SATOSHI HINO, RIKIYA KOYAMA, NOBUAKI FUKUDA, KENJI HAMADA, KEIKO NEMOTO, SAORI HAYAMI, YUMI TOMA, YUKO KOBAYASHI, FUJIKO TAKIMOTO, MUTSUMI TAMURA, MAYUKI MAKIGUCHI, TOSHIYUKI MORIKAWA",JAPAN,TV-14,2010,15.0,9.0,2021.0,85,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s62,MOVIE,NARUTO THE MOVIE 2: LEGEND OF THE STONE OF GELEL,HIROTSUGU KAWASAKI,"JUNKO TAKEUCHI, GAMON KAAI, CHIE NAKAMURA, SHOWTARO MORIKUBO, AKIRA ISHIDA, YASUYUKI KASE, URARA TAKANO, SACHIKO KOJIMA, HOUKO KUWASHIMA, TAKAKO HONDA",JAPAN,TV-PG,2005,15.0,9.0,2021.0,97,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s63,MOVIE,NARUTO THE MOVIE 3: GUARDIANS OF THE CRESCENT MOON KINGDOM,TOSHIYUKI TSURU,"JUNKO TAKEUCHI, CHIE NAKAMURA, YOICHI MASUKAWA, KAZUHIKO INOUE, AKIO OTSUKA, KYOUSUKE IKEDA, MARIKA HAYASHI, UMEJI SASAKI, MASASHI SUGAWARA, HISAO EGAWA",JAPAN,TV-PG,2006,15.0,9.0,2021.0,95,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s64,MOVIE,NARUTO THE MOVIE: NINJA CLASH IN THE LAND OF SNOW,TENSAI OKAMURA,"JUNKO TAKEUCHI, NORIAKI SUGIYAMA, CHIE NAKAMURA, KAZUHIKO INOUE, YUHKO KAIDA, TSUTOMU ISOBE, HIROTAKA SUZUOKI, JUN KARASAWA, HARII KANEKO, IKUO NISHIKAWA",JAPAN,TV-PG,2004,15.0,9.0,2021.0,83,MIN,"ACTION & ADVENTURE, ANIME FEATURES, INTERNATIONAL MOVIES"
s65,MOVIE,NIGHTBOOKS,DAVID YAROVESKY,"WINSLOW FEGLEY, LIDYA JEWETT, KRYSTEN RITTER",N/S,TV-PG,2021,15.0,9.0,2021.0,103,MIN,CHILDREN & FAMILY MOVIES
s66,TV SHOW,NUMBERBLOCKS,N/S,"BETH CHALMERS, DAVID HOLT, MARCEL MCCALLA, TERESA GALLAGHER",UNITED KINGDOM,TV-Y,2021,15.0,9.0,2021.0,6,SEASONS,KIDS' TV
s67,TV SHOW,RAJA RASOI AUR ANYA KAHANIYAN,N/S,N/S,INDIA,TV-G,2014,15.0,9.0,2021.0,1,SEASONS,"DOCUSERIES, INTERNATIONAL TV SHOWS"
s68,TV SHOW,SAVED BY THE BELL,N/S,"MARK-PAUL GOSSELAAR, TIFFANI THIESSEN, MARIO LOPEZ, LARK VOORHIES, ELIZABETH BERKLEY, DUSTIN DIAMOND, DENNIS HASKINS",UNITED STATES,TV-PG,1994,15.0,9.0,2021.0,9,SEASONS,"KIDS' TV, TV COMEDIES"
